,icc,pval
original_firstorder_Energy,0.8100076192693659,0.10562613606452942
original_firstorder_Mean,0.8222309625506983,0.9905734956264496
original_firstorder_Median,0.8387565958984872,0.7547849898591317
original_firstorder_RootMeanSquared,0.8435075358717539,0.41325296461582184
original_firstorder_TotalEnergy,0.7755738943518148,0.16235288977622986
original_glcm_DifferenceAverage,0.7605067112472802,0.8407831341028214
original_glcm_Id,0.760525846358867,0.4270208328962326
original_glcm_Idm,0.75511914285364,0.3483276069164276
original_glcm_Idmn,0.7979959501758457,0.4698396325111389
original_gldm_DependenceNonUniformity,0.9446079219756698,0.06548145413398743
original_gldm_DependenceNonUniformityNormalized,0.8543277021097028,0.5148514956235886
original_gldm_LargeDependenceEmphasis,0.7625664442448365,0.4553176909685135
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.8115880753766063,0.9905734956264496
original_gldm_LowGrayLevelEmphasis,0.8218597133575049,0.8593128323554993
original_gldm_SmallDependenceEmphasis,0.8149846802665951,0.3864929676055908
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.7971630401928639,0.4270208328962326
original_glrlm_LongRunEmphasis,0.8016698882425556,0.37350593507289886
original_glrlm_LowGrayLevelRunEmphasis,0.8500249441421156,0.9340859353542328
original_glrlm_RunLengthNonUniformityNormalized,0.7957125161549417,0.219833105802536
original_glrlm_RunPercentage,0.8003735242825546,0.27924175560474396
original_glrlm_RunVariance,0.7947555153764841,0.4698396325111389
original_glrlm_ShortRunEmphasis,0.7916100687005325,0.2290707677602768
original_glrlm_ShortRunLowGrayLevelEmphasis,0.8593913632860776,0.9153143465518951
original_glszm_SizeZoneNonUniformity,0.934356155781875,0.11668527126312256
original_glszm_SizeZoneNonUniformityNormalized,0.8152732439056702,0.4270208328962326
original_glszm_SmallAreaEmphasis,0.8166730898381929,0.3864929676055908
original_glszm_ZonePercentage,0.8040564625822156,0.41325296461582184
original_ngtdm_Busyness,0.8233208498307041,0.06189882755279541
original_shape_Flatness,0.7706039102576235,0.82233826816082
original_shape_MajorAxisLength,0.8726848908112831,0.324220210313797
original_shape_Maximum2DDiameterColumn,0.9107534201257278,0.8889058167448884
original_shape_Maximum2DDiameterRow,0.9452744498327622,0.2583710700273514
original_shape_Maximum2DDiameterSlice,0.9268464437897413,0.27924175560474396
original_shape_Maximum3DDiameter,0.9157010454521469,0.8965883553028107
original_shape_MinorAxisLength,0.964342402125683,0.06548145413398743
original_shape_Sphericity,0.8042588335356076,0.41325296461582184
original_shape_SurfaceArea,0.9352052963283007,0.2583710700273514
wavelet-HHH_firstorder_10Percentile,0.8666748654468113,0.4996110200881958
wavelet-HHH_firstorder_90Percentile,0.891118694911383,0.4270208328962326
wavelet-HHH_firstorder_Entropy,0.9048997947099261,0.41325296461582184
wavelet-HHH_firstorder_InterquartileRange,0.8775537721333231,0.3864929676055908
wavelet-HHH_firstorder_Maximum,0.902500158020668,0.9905734956264496
wavelet-HHH_firstorder_MeanAbsoluteDeviation,0.8896539543187177,0.4846055656671524
wavelet-HHH_firstorder_Minimum,0.9220184140133516,0.4698396325111389
wavelet-HHH_firstorder_Range,0.9506146340810303,0.4698396325111389
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.8794995412614743,0.37350593507289886
wavelet-HHH_firstorder_RootMeanSquared,0.899073814485764,0.6276643574237823
wavelet-HHH_firstorder_Uniformity,0.8946744211978765,0.15513363480567932
wavelet-HHH_firstorder_Variance,0.8555752577577714,0.6276643574237823
wavelet-HHH_glcm_Autocorrelation,0.9580675763074586,0.37350593507289886
wavelet-HHH_glcm_ClusterTendency,0.8604476838846377,0.6616804599761963
wavelet-HHH_glcm_Contrast,0.860133401385378,0.6789510101079941
wavelet-HHH_glcm_Correlation,0.7742145702863759,0.14815247058868408
wavelet-HHH_glcm_DifferenceAverage,0.8927698942198098,0.5780609846115112
wavelet-HHH_glcm_DifferenceEntropy,0.9048386568747243,0.5148514956235886
wavelet-HHH_glcm_DifferenceVariance,0.8707900164073485,0.8593128323554993
wavelet-HHH_glcm_Id,0.8947355675759825,0.2483380287885666
wavelet-HHH_glcm_Idm,0.8927517101051732,0.2021402269601822
wavelet-HHH_glcm_Imc1,0.8920630824573749,0.6963860541582108
wavelet-HHH_glcm_Imc2,0.9281905284485188,0.6276643574237823
wavelet-HHH_glcm_InverseVariance,0.8830089527594135,0.4270208328962326
wavelet-HHH_glcm_JointAverage,0.9129288664478611,0.5619325190782547
wavelet-HHH_glcm_JointEnergy,0.8825834138803756,0.10040661692619324
wavelet-HHH_glcm_JointEntropy,0.9013779227973001,0.44104358553886414
wavelet-HHH_glcm_MaximumProbability,0.8878132574402481,0.11105082929134369
wavelet-HHH_glcm_SumAverage,0.9129288664478611,0.5619325190782547
wavelet-HHH_glcm_SumEntropy,0.9056966877594285,0.4553176909685135
wavelet-HHH_glcm_SumSquares,0.8602811929758186,0.6789510101079941
wavelet-HHH_gldm_DependenceEntropy,0.8792799358110069,0.6789510101079941
wavelet-HHH_gldm_DependenceNonUniformity,0.9137649197459298,0.1698138564825058
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.8865774970326034,0.219833105802536
wavelet-HHH_gldm_DependenceVariance,0.8802031104344697,0.07314017415046692
wavelet-HHH_gldm_GrayLevelVariance,0.8567246295782713,0.6445824354887009
wavelet-HHH_gldm_HighGrayLevelEmphasis,0.9578321237045839,0.5619325190782547
wavelet-HHH_gldm_SmallDependenceEmphasis,0.9114301546989403,0.23857179284095764
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.9537183423588318,0.9528931677341461
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.8954995683201286,0.19368016719818115
wavelet-HHH_glrlm_GrayLevelVariance,0.8588235015353161,0.6963860541582108
wavelet-HHH_glrlm_HighGrayLevelRunEmphasis,0.9578406524590636,0.5619325190782547
wavelet-HHH_glrlm_LongRunEmphasis,0.885444778392634,0.05208057165145874
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.9415833746971911,0.2290707677602768
wavelet-HHH_glrlm_RunEntropy,0.9033610239107962,0.8779177963733673
wavelet-HHH_glrlm_RunLengthNonUniformity,0.9507074524057316,0.09538766741752625
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.8924150488456121,0.1348898708820343
wavelet-HHH_glrlm_RunPercentage,0.8908568951050491,0.11105082929134369
wavelet-HHH_glrlm_ShortRunEmphasis,0.8892713198506114,0.10562613606452942
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.9596454794480496,0.5460176914930344
wavelet-HHH_glszm_GrayLevelNonUniformity,0.948864615240827,0.39974282681941986
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.8440965870110124,0.4698396325111389
wavelet-HHH_glszm_GrayLevelVariance,0.8908897557766329,1.0
